Date,Open,High,Low,Close,Adj Close,Volume
4/1/2015,124.820000,134.539993,123.099998,125.150002,115.170479,996135500.00
5/1/2015,126.099998,132.970001,123.360001,130.279999,119.891411,954152100.00
6/1/2015,130.279999,131.389999,124.480003,125.430000,115.910301,878606700.00
7/1/2015,126.900002,132.970001,119.220001,121.300003,112.093750,1058280600.00
8/1/2015,121.500000,122.570000,92.000000,112.919998,104.349785,1786858800.00
9/1/2015,110.150002,116.889999,107.360001,110.300003,102.389992,1206547300.00
10/1/2015,109.070000,121.220001,107.309998,119.500000,110.930237,1112512100.00
11/1/2015,120.800003,123.820000,111.000000,118.300003,109.816284,750640600.00
12/1/2015,118.750000,119.860001,104.820000,105.260002,98.129669,921915200.00
1/1/2016,102.610001,105.849998,92.389999,97.339996,90.746178,1271848000.00
2/1/2016,96.470001,98.889999,92.589996,96.690002,90.140213,810862600.00
3/1/2016,97.650002,110.419998,97.419998,108.989998,102.158356,746049600.00
4/1/2016,108.779999,112.389999,92.510002,93.739998,87.864235,872383700.00
5/1/2016,93.970001,100.730003,89.470001,99.860001,93.600647,900671500.00
6/1/2016,99.019997,101.889999,91.500000,95.599998,90.153221,779497700.00
7/1/2016,95.489998,104.550003,94.370003,104.209999,98.272682,685779600.00
8/1/2016,104.410004,110.230003,104.000000,106.099998,100.055000,630128500.00
9/1/2016,106.139999,116.180000,102.529999,113.050003,107.186554,968015600.00
10/1/2016,112.709999,118.690002,112.279999,113.540001,107.651123,686914300.00
11/1/2016,113.459999,113.769997,104.080002,110.519997,104.787750,721555000.00
12/1/2016,110.370003,118.019997,108.250000,115.820000,110.376678,608771700.00
1/1/2017,115.800003,122.440002,114.760002,121.349998,115.646774,563122000.00
2/1/2017,127.029999,137.479996,127.010002,136.990005,130.551743,574968600.00
3/1/2017,137.889999,144.500000,137.050003,143.660004,137.501846,561628400.00
4/1/2017,143.710007,145.460007,140.059998,143.649994,137.492264,373304100.00
5/1/2017,145.100006,156.649994,144.270004,152.759995,146.211731,653981800.00
6/1/2017,153.169998,155.979996,142.199997,144.020004,138.415375,684178100.00
7/1/2017,144.880005,153.990005,142.410004,148.729996,142.942078,422011900.00
8/1/2017,149.100006,164.520004,148.410004,164.000000,157.617828,661069000.00
9/1/2017,164.800003,164.940002,149.160004,154.119995,148.703979,680374100.00
10/1/2017,154.259995,169.649994,152.460007,169.039993,163.099670,504291300.00
11/1/2017,169.869995,176.240005,165.279999,171.850006,165.810959,600663400.00
12/1/2017,169.949997,177.199997,166.460007,169.229996,163.869995,531183800.00
1/1/2018,170.160004,180.100006,164.699997,167.429993,162.127014,659679400.00
2/1/2018,167.169998,180.619995,150.240005,178.119995,172.478439,927894300.00
3/1/2018,178.539993,183.500000,164.940002,167.779999,163.128311,713727700.00
4/1/2018,166.639999,178.940002,160.630005,165.259995,160.678177,666154300.00
5/1/2018,166.410004,190.369995,165.270004,186.869995,181.689041,620976300.00
6/1/2018,187.990005,194.199997,180.729996,185.110001,180.671844,527624500.00
7/1/2018,183.820007,195.960007,183.419998,190.289993,185.727646,393691400.00
8/1/2018,199.130005,228.869995,197.309998,227.630005,222.172409,700318900.00
9/1/2018,228.410004,229.669998,215.300003,225.740005,221.100433,678972000.00
10/1/2018,227.949997,233.470001,206.089996,218.860001,214.361847,789748500.00
11/1/2018,219.050003,222.360001,170.259995,178.580002,174.909714,961326400.00
12/1/2018,184.460007,184.940002,146.589996,157.740005,155.037109,898922500.00
1/1/2019,154.889999,169.000000,142.000000,166.440002,163.587997,828087400.00
2/1/2019,166.960007,175.869995,165.929993,173.149994,170.183029,472540600.00
3/1/2019,174.279999,197.690002,169.500000,189.949997,187.495865,650981400.00
4/1/2019,191.639999,208.479996,188.380005,200.669998,198.077362,506117700.00
5/1/2019,209.880005,215.309998,174.990005,175.070007,172.808105,739456600.00
6/1/2019,175.600006,201.570007,170.270004,197.919998,196.115219,515187300.00
7/1/2019,203.169998,221.369995,198.410004,213.039993,211.097366,473957000.00
8/1/2019,213.899994,218.029999,192.580002,208.740005,206.836563,681074600.00
9/1/2019,206.429993,226.419998,204.220001,223.970001,222.770889,542483000.00
10/1/2019,225.070007,249.750000,215.130005,248.759995,247.428162,608302700.00
11/1/2019,249.539993,268.000000,249.160004,267.250000,265.819183,448331500.00
12/1/2019,267.269989,293.970001,256.290009,293.649994,292.954712,597198700.00
1/1/2020,296.239990,327.850006,292.750000,309.510010,308.777191,733592600.00
2/1/2020,304.299988,327.220001,256.369995,273.359985,272.712769,754962800.00
3/1/2020,282.279999,304.000000,263.000000,266.170013,266.170013,394672900.00
